b_A,c,init_fraction,K,extinction,rescue
0.11,0.0001,0.1,100,509,491
0.11,0.0001,1,100,58,942
0.11,0.0003,0.1,33.33333333,912,88
0.11,0.0003,1,33.33333333,749,251
0.11,0.001,0.1,10,1000,0
0.11,0.001,1,10,999,1
0.11,0.003,0.1,3.333333333,1000,0
0.11,0.003,1,3.333333333,1000,0
0.12,0.0001,0.1,200,44,956
0.12,0.0001,1,200,0,1000
0.12,0.0003,0.1,66.66666667,390,610
0.12,0.0003,1,66.66666667,53,947
0.12,0.001,0.1,20,970,30
0.12,0.001,1,20,891,109
0.12,0.003,0.1,6.666666667,1000,0
0.12,0.003,1,6.666666667,1000,0
0.15,0.0001,0.1,500,0,1000
0.15,0.0001,1,500,0,1000
0.15,0.0003,0.1,166.6666667,1,999
0.15,0.0003,1,166.6666667,0,1000
0.15,0.001,0.1,50,174,826
0.15,0.001,1,50,5,995
0.15,0.003,0.1,16.66666667,906,94
0.15,0.003,1,16.66666667,833,167
0.2,0.0001,0.1,1000,0,1000
0.2,0.0001,1,1000,0,1000
0.2,0.0003,0.1,333.3333333,0,1000
0.2,0.0003,1,333.3333333,0,1000
0.2,0.001,0.1,100,4,996
0.2,0.001,1,100,0,1000
0.2,0.003,0.1,33.33333333,106,894
0.2,0.003,1,33.33333333,5,995
0.25,0.0001,0.1,1500,0,1000
0.25,0.0001,1,1500,0,1000
0.25,0.0003,0.1,500,0,1000
0.25,0.0003,1,500,0,1000
0.25,0.001,0.1,150,0,1000
0.25,0.001,1,150,0,1000
0.25,0.003,0.1,50,21,979
0.25,0.003,1,50,0,1000
0.3,0.0001,0.1,2000,0,1000
0.3,0.0001,1,2000,0,1000
0.3,0.0003,0.1,666.6666667,0,1000
0.3,0.0003,1,666.6666667,0,1000
0.3,0.001,0.1,200,0,1000
0.3,0.001,1,200,0,1000
0.3,0.003,0.1,66.66666667,2,998
0.3,0.003,1,66.66666667,0,1000
