b_A,mu,c,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.0003,10.0,972.0,28.0,1.0,13.09686151355766,0.0,84.9573034455594
0.11,0.0,0.0003,100.0,983.0,17.0,1.0,13.090494821124926,0.0,86.09440137146048
0.11,0.0,0.0003,1000.0,996.0,4.0,1.0,14.192862690010358,0.0,92.52546880890421
0.11,0.0,0.0001,10.0,926.0,74.0,1.0,42.89668463165853,0.0,677.4934449548513
0.11,0.0,0.0001,100.0,945.0,55.0,1.0,39.575854520394195,0.0,631.4200062680598
0.11,0.0,0.0001,1000.0,988.0,12.0,1.0,42.17376861566188,0.0,505.03418245907477
0.11,0.0,0.003,10.0,1000.0,0.0,0.0,0.487712200470296,0.0,0.2463956621520927
0.11,0.0,0.003,100.0,1000.0,0.0,0.0,0.021725972844954786,0.0,0.0004559052976430809
0.11,0.0,0.003,1000.0,1000.0,0.0,0.0,0.0003100666556954346,0.0,9.74336127448666e-08
0.11,0.0,0.001,10.0,1000.0,0.0,0.0,0.5341675839281548,0.0,0.29136005459522496
0.11,0.0,0.001,100.0,1000.0,0.0,0.0,0.03662140970978484,0.0,0.0013475118388536242
0.11,0.0,0.001,1000.0,1000.0,0.0,0.0,0.0008478576377970333,0.0,6.679148159171855e-07
0.11,1e-05,0.0003,10.0,980.0,20.0,1.0,14.257886841291224,0.0,98.60009031575342
0.11,1e-05,0.0003,100.0,991.0,9.0,1.0,13.11075874351068,0.0,102.81766545852766
0.11,1e-05,0.0003,1000.0,996.0,4.0,1.0,13.165917940033278,0.0,116.93025125944477
0.11,1e-05,0.0001,10.0,903.0,97.0,1.0,42.29954597553733,0.0,633.7194128291477
0.11,1e-05,0.0001,100.0,958.0,42.0,1.0,43.51527757721233,0.0,712.5758587974841
0.11,1e-05,0.0001,1000.0,982.0,18.0,1.0,56.94557311644433,0.0,1272.8983686333488
0.11,1e-05,0.003,10.0,1000.0,0.0,0.0,0.4839551639116392,0.0,0.25687901778712247
0.11,1e-05,0.003,100.0,1000.0,0.0,0.0,0.02157042322369316,0.0,0.000446663323149448
0.11,1e-05,0.003,1000.0,1000.0,0.0,0.0,0.00030591354252887474,0.0,8.955816019681828e-08
0.11,1e-05,0.001,10.0,1000.0,0.0,0.0,0.5768324634849376,0.0,0.3751827428759682
0.11,1e-05,0.001,100.0,1000.0,0.0,0.0,0.036806469203779564,0.0,0.0012365444643198007
0.11,1e-05,0.001,1000.0,1000.0,0.0,0.0,0.0008582308681017029,0.0,7.42136039966804e-07
0.11,0.0001,0.0003,10.0,979.0,21.0,1.0,14.276098616672849,0.0,132.82866836033892
