b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.0003,1e-05,1.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,2.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,2.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,2.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,3.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,3.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,3.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.1,100.0,1000,0,0.0,6.4234538174356395,0.0,28.20552561370705
0.11,0.0,0.0003,0.001,1.1,1000.0,1000,0,0.0,4.217588876151655,0.0,16.039534703956143
0.11,0.0,0.0003,0.001,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.5,100.0,1000,0,0.0,13.493265302041802,0.0,72.20400150003609
0.11,0.0,0.0003,0.001,1.5,1000.0,1000,0,0.0,4.543994813834055,0.0,16.60890159200922
0.11,0.0,0.0003,0.001,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,2.0,100.0,1000,0,0.0,9.838715553040464,0.0,37.49579869500289
0.11,0.0,0.0003,0.001,2.0,1000.0,1000,0,0.0,4.295924556211323,0.0,17.217653695741
0.11,0.0,0.0003,0.001,2.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,2.5,100.0,1000,0,0.0,10.356257842091933,0.0,28.648504749888804
0.11,0.0,0.0003,0.001,2.5,1000.0,1000,0,0.0,4.455719551116648,0.0,21.022350466659418
0.11,0.0,0.0003,0.001,3.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,3.0,100.0,1000,0,0.0,7.264654486753553,0.0,7.753135962004947
0.11,0.0,0.0003,0.001,3.0,1000.0,1000,0,0.0,4.539847280207198,0.0,18.741094430154146
0.11,0.0,0.0003,0.1,1.1,10.0,1000,0,0.0,6.138865273668596,0.0,35.152476314368016
0.11,0.0,0.0003,0.1,1.1,100.0,1000,0,0.0,0.32473034627477687,0.0,0.03779146271357492
0.11,0.0,0.0003,0.1,1.1,1000.0,1000,0,0.0,0.0306320078541573,0.0,0.00030896841436954466
0.11,0.0,0.0003,0.1,1.5,10.0,1000,0,0.0,5.636521123665787,0.0,28.54828770665028
0.11,0.0,0.0003,0.1,1.5,100.0,1000,0,0.0,0.32162989734165986,0.0,0.03389989967846051
0.11,0.0,0.0003,0.1,1.5,1000.0,1000,0,0.0,0.029722971892867378,0.0,0.00031126009769203003
0.11,0.0,0.0003,0.1,2.0,10.0,1000,0,0.0,5.95792370874886,0.0,43.29343720071847
0.11,0.0,0.0003,0.1,2.0,100.0,1000,0,0.0,0.31008063895730176,0.0,0.03542543287198465
0.11,0.0,0.0003,0.1,2.0,1000.0,1000,0,0.0,0.030214711555326713,0.0,0.0003242335505948964
0.11,0.0,0.0003,0.1,2.5,10.0,1000,0,0.0,5.335525719001159,0.0,30.313752117556252
0.11,0.0,0.0003,0.1,2.5,100.0,1000,0,0.0,0.3101712589672715,0.0,0.035081274558581094
0.11,0.0,0.0003,0.1,2.5,1000.0,1000,0,0.0,0.030699354859063128,0.0,0.0003219700366602838
0.11,0.0,0.0003,0.1,3.0,10.0,1000,0,0.0,5.352516290223643,0.0,24.331060366914837
0.11,0.0,0.0003,0.1,3.0,100.0,1000,0,0.0,0.3152870466313597,0.0,0.03820578312595281
0.11,0.0,0.0003,0.1,3.0,1000.0,1000,0,0.0,0.030516967978060895,0.0,0.0003276732217027156
0.11,0.0,0.0003,1.0,1.1,10.0,1000,0,0.0,0.5348603597568877,0.0,0.1831329967100034
0.11,0.0,0.0003,1.0,1.1,100.0,1000,0,0.0,0.03178307771682796,0.0,0.0003642143026069951
0.11,0.0,0.0003,1.0,1.1,1000.0,1000,0,0.0,0.003009221118489699,0.0,2.931484531161074e-06
0.11,0.0,0.0003,1.0,1.5,10.0,1000,0,0.0,0.486862259741925,0.0,0.11931196289394058
0.11,0.0,0.0003,1.0,1.5,100.0,1000,0,0.0,0.03142539672595267,0.0,0.0003339408620559824
0.11,0.0,0.0003,1.0,1.5,1000.0,1000,0,0.0,0.002990448708840556,0.0,2.9746150108185065e-06
0.11,0.0,0.0003,1.0,2.0,10.0,1000,0,0.0,0.442446126900652,0.0,0.08937469242714953
0.11,0.0,0.0003,1.0,2.0,100.0,1000,0,0.0,0.029887853856880763,0.0,0.0002773002267780308
0.11,0.0,0.0003,1.0,2.0,1000.0,1000,0,0.0,0.0029480215148033955,0.0,2.7641964805073614e-06
0.11,0.0,0.0003,1.0,2.5,10.0,1000,0,0.0,0.4163506667896432,0.0,0.07331058585469287
0.11,0.0,0.0003,1.0,2.5,100.0,1000,0,0.0,0.030523768769837492,0.0,0.00030456150846938683
0.11,0.0,0.0003,1.0,2.5,1000.0,1000,0,0.0,0.002981079063641906,0.0,3.043488254464915e-06
0.11,0.0,0.0003,1.0,3.0,10.0,1000,0,0.0,0.3991693009830184,0.0,0.07104404928130646
0.11,0.0,0.0003,1.0,3.0,100.0,1000,0,0.0,0.030061980424291035,0.0,0.00030151127769813805
0.11,0.0,0.0003,1.0,3.0,1000.0,1000,0,0.0,0.0030772999004021347,0.0,3.133432230354405e-06
0.11,0.0,0.0001,1e-05,1.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,2.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0001,1e-05,3.0,10.0,1000,0,0.0,0.0,0.0,0.0
