b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.0003,1e-05,0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.1,0.1,10.0,1000,0,0.0,9.580227831329482,0.0,34.4382341828826
0.11,0.0,0.0003,0.1,0.1,100.0,1000,0,0.0,7.863753428743653,0.0,24.16654969340383
0.11,0.0,0.0003,0.1,0.1,1000.0,1000,0,0.0,4.752073938801243,0.0,6.091605614770248
0.11,0.0,0.0003,0.1,0.5,10.0,1000,0,0.0,7.261666581745346,0.0,27.057704423950014
0.11,0.0,0.0003,0.1,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.1,0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.1,1.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.1,1.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.1,1.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.1,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.1,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.1,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
