b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.0003,1e-05,-0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,-0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,-0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,-0.2,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,-0.2,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,-0.2,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,-0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,-0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,-0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.2,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.2,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.2,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,1e-05,1.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,-0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,-0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,-0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,-0.2,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,-0.2,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,-0.2,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,-0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,-0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,-0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.2,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.2,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.2,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,0.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.001,1.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,0.0,0.0003,0.1,-0.5,10.0,1000,0,0.0,9.987363335554944,0.0,37.775565610127515
0.11,0.0,0.0003,0.1,-0.5,100.0,1000,0,0.0,7.399966610487322,0.0,21.332890970417925
0.11,0.0,0.0003,0.1,-0.5,1000.0,1000,0,0.0,8.680319761032953,0.0,22.870983574575167
0.11,0.0,0.0003,0.1,-0.2,10.0,1000,0,0.0,9.169130130996214,0.0,36.089351025262204
0.11,0.0,0.0003,0.1,-0.2,100.0,1000,0,0.0,11.336962094954641,0.0,57.33453025613743
0.11,0.0,0.0003,0.1,-0.2,1000.0,1000,0,0.0,8.720671101577867,0.0,63.74531116463856
0.11,0.0,0.0003,0.1,-0.1,10.0,1000,0,0.0,10.818496218443592,0.0,49.401766227673434
0.11,0.0,0.0003,0.1,-0.1,100.0,1000,0,0.0,10.02893141188644,0.0,62.36342982369517
0.11,0.0,0.0003,0.1,-0.1,1000.0,1000,0,0.0,8.997910684135546,0.0,29.17835180569186
0.11,0.0,0.0003,0.1,0.0,10.0,1000,0,0.0,10.556420592004853,0.0,41.50752234264204
