b_A,mu,c,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0,0.0003,10,1000,0,0,0,0,0
0.11,0,0.0003,100,1000,0,0,0,0,0
0.11,0,0.0003,1000,1000,0,0,0,0,0
0.11,0,0.0001,10,1000,0,0,0,0,0
0.11,0,0.0001,100,1000,0,0,0,0,0
0.11,0,0.0001,1000,1000,0,0,0,0,0
0.11,0,0.003,10,1000,0,0,0.479733389,0,0.229883026
0.11,0,0.003,100,1000,0,0,0.021352786,0,0.000469722
0.11,0,0.003,1000,1000,0,0,0.000334445,0,9.78E-08
0.11,0,0.001,10,1000,0,0,0.513715315,0,0.272685099
0.11,0,0.001,100,1000,0,0,0.033925538,0,0.001062356
0.11,0,0.001,1000,1000,0,0,0.000868639,0,7.36E-07
0.11,1.00E-05,0.0003,10,1000,0,0,0,0,0
0.11,1.00E-05,0.0003,100,1000,0,0,0,0,0
0.11,1.00E-05,0.0003,1000,1000,0,0,0,0,0
0.11,1.00E-05,0.0001,10,1000,0,0,0,0,0
0.11,1.00E-05,0.0001,100,1000,0,0,0,0,0
0.11,1.00E-05,0.0001,1000,1000,0,0,0,0,0
0.11,1.00E-05,0.003,10,1000,0,0,0.466249274,0,0.236948989
0.11,1.00E-05,0.003,100,1000,0,0,0.020951926,0,0.000438211
0.11,1.00E-05,0.003,1000,1000,0,0,0.00030899,0,9.02E-08
0.11,1.00E-05,0.001,10,1000,0,0,0.500714676,0,0.237248347
0.11,1.00E-05,0.001,100,1000,0,0,0.033593649,0,0.001134483
0.11,1.00E-05,0.001,1000,1000,0,0,0.000810364,0,6.00E-07
0.11,0.0001,0.0003,10,1000,0,0,0,0,0
0.11,0.0001,0.0003,100,1000,0,0,0,0,0
0.11,0.0001,0.0003,1000,1000,0,0,0,0,0
0.11,0.0001,0.0001,10,1000,0,0,0,0,0
0.11,0.0001,0.0001,100,1000,0,0,0,0,0
0.11,0.0001,0.0001,1000,1000,0,0,0,0,0
0.11,0.0001,0.003,10,1000,0,0,0.466949383,0,0.230147091
0.11,0.0001,0.003,100,1000,0,0,0.021157777,0,0.00043855
0.11,0.0001,0.003,1000,1000,0,0,0.000316367,0,9.75E-08
0.11,0.0001,0.001,10,1000,0,0,0.651428105,0,7.747623059
0.11,0.0001,0.001,100,1000,0,0,0.036407373,0,0.001327845
0.11,0.0001,0.001,1000,1000,0,0,0.000826284,0,6.96E-07
0.11,0.001,0.0003,10,1000,0,0,0,0,0
0.11,0.001,0.0003,100,1000,0,0,11.8008533,0,92.65717233
0.11,0.001,0.0003,1000,1000,0,0,5.899832172,0,48.91054165
0.11,0.001,0.0001,10,1000,0,0,0,0,0
0.11,0.001,0.0001,100,1000,0,0,0,0,0
0.11,0.001,0.0001,1000,1000,0,0,10.50044529,0,45.66525002
0.11,0.001,0.003,10,1000,0,0,0.593842444,0,3.019303551
0.11,0.001,0.003,100,1000,0,0,0.055585318,0,0.57028556
0.11,0.001,0.003,1000,1000,0,0,0.005543903,0,0.01458466
0.11,0.001,0.001,10,1000,0,0,0.779928165,0,13.71335022
0.11,0.001,0.001,100,1000,0,0,0.073428647,0,0.481973132
0.11,0.001,0.001,1000,1000,0,0,0.007187607,0,0.029782856
0.11,0.1,0.0003,10,1000,0,0,7.995938179,0,106.447626
0.11,0.1,0.0003,100,1000,0,0,0.330125155,0,0.038799648
0.11,0.1,0.0003,1000,1000,0,0,0.02979758,0,0.000299299
0.11,0.1,0.0001,10,1000,0,0,49.96793629,0,1793.526037
0.11,0.1,0.0001,100,1000,0,0,1.100607183,0,0.202054053
0.11,0.1,0.0001,1000,1000,0,0,0.093217475,0,0.0009449
0.11,0.1,0.003,10,1000,0,0,0.407933931,0,0.397791932
0.11,0.1,0.003,100,1000,0,0,0.017943673,0,0.00036298
0.11,0.1,0.003,1000,1000,0,0,0.000317221,0,1.00E-07
0.11,0.1,0.001,10,1000,0,0,0.423865651,0,0.303732458
0.11,0.1,0.001,100,1000,0,0,0.028220085,0,0.000871791
0.11,0.1,0.001,1000,1000,0,0,0.000829737,0,8.19E-07
0.12,0,0.0003,10,1000,0,0,0,0,0
0.12,0,0.0003,100,1000,0,0,0,0,0
0.12,0,0.0003,1000,1000,0,0,0,0,0
0.12,0,0.0001,10,1000,0,0,0,0,0
0.12,0,0.0001,100,1000,0,0,0,0,0
0.12,0,0.0001,1000,1000,0,0,0,0,0
0.12,0,0.003,10,1000,0,0,0.497984238,0,0.294723351
0.12,0,0.003,100,1000,0,0,0.020746855,0,0.000458303
0.12,0,0.003,1000,1000,0,0,0.000302706,0,9.31E-08
0.12,0,0.001,10,1000,0,0,0,0,0
0.12,0,0.001,100,1000,0,0,0,0,0
0.12,0,0.001,1000,1000,0,0,0,0,0
0.12,1.00E-05,0.0003,10,1000,0,0,0,0,0
